Oilers,Edmonton,Pacific,49,5,1972,TRUE
Maple Leafs,Toronto,Atlantic,46,13,1917,FALSE
Flames,Calgary,Pacific,38,1,1972,TRUE
Jets,Winnipeg,Central,52,0,1997,TRUE
Kraken,Seattle,Pacific,34,0,2021,FALSE
Bruins,Boston,Atlantic,47,6,1924,FALSE
Rangers,New York City,Metropolitan,55,4,1926,FALSE
Red Wings,Detroit,Atlantic,41,11,1926,FALSE
Panthers,Sunrise,Atlantic,52,1,1993,FALSE
Penguins,Pittsburgh,Metropolitan,38,5,1967,FALSE
Predators,Nashville,Central,47,0,1998,FALSE
